i	arc	where	status	verdict	note	quote
1053	B1128_instrument_null	context shared with B1126, referenced in this arc's framing of the value campaign	LEAD	CONSISTENT		a repo-wide grep for any Kashaev ↔ PMNS/neutrino connection returns ZERO
1054	B1129_natural_values_disjoint	b1129_NOTES.md	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 2); class spot-checked in part 1	A repo-wide search for co-occurrence of magic-square / Barton–Sudbery / E₆-structure-constant vocabulary with Koide / lepton-mass vocabulary returns nothing beyond this probe's own construction.
1057	B1133_c4_single_end	b1133_NOTES.md, 'Zeroth finding'	LEAD	CONSISTENT	(checked: no twoended_checkpoint.pkl on main)	No `twoended_checkpoint.pkl` exists anywhere in the repo (confirmed by search) to recover the larger run.
1058	B1133_c4_single_end	"b1133_NOTES.md, 'Zeroth finding: the ""0 trusted digits at N<=70M"" claim doesn't match what's on disk'"	LEAD	CONSISTENT		"the prose (FINDINGS.md/NOTES.md/arc_verdict) describes a run ""pushed toward N=70M... stopped at ~1hr"" that is not the file on disk"
1060	B1137_regulator_probe	ADDENDUM_2026-09-01_floor_reclassification_proposal.md, 'Assumption carried' paragraph	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 2); class spot-checked in part 1	the pruned 25-element basis is taken to be ℚ-linearly independent with 1, as the arc asserts; basis_hygiene_check.py is not in the arc dir.
1061	B1140_the_64_organized	FINDINGS.md, 'Scope + conventions (held)'	LEAD	CONSISTENT		NOT checked (honestly flagged): the memo's further remark that an antilinear θ glues the two real spin-2's into one complex spin-2 (10 real dims) leaving 54 colored bi-vectors ... Not confirmed, not refuted. The arithmetic (10 + 54 = 64) is consistent; the gluing itself is uncomputed here.
1063	B1143_bl_fourth_cartan	FINDINGS.md, 'SP-4 -- FLAGGED'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 2); class spot-checked in part 1	At bank time no primary SP-4 text was in-repo; the '2592' grep hits were coincidental.
1064	B1143_bl_fourth_cartan	FINDINGS.md, 'SP-3 -- table invariance CONFIRMED; the 36/36 count FLAGGED'	LEAD	CONSISTENT		neither battery -- nor natural degree-<=3 monomial counts on 2 or 5 charges -- reproduces the memo's specific 36 without fitting to that number; the anomaly-freedom is real, the count '36/36' is not independently reproduced.
1068	B1037_band_B100_dispositioned	FINDINGS.md section 4, quoting B106's own headline (declined-process)	UNSWEEPABLE	NOISE	not an absence claim (B106 declines to claim a mechanism)	no mechanism is claimed
1069	B1038_tower_restored	FINDINGS.md closing paragraph	LEAD	CONSISTENT	B122 restates; module-level proof for general n open	the module-level proof for general n -- B122 calls it 'the prize.' Character level holds to n = 11; module level is proved only at n = 3,4.
1070	B1038_tower_restored	FINDINGS.md section 3	LEAD	CONSISTENT	B103's tower not rebuilt; B1060/B1089 restate	B103's tower construction is not rebuilt.
1071	B1038_tower_restored	FINDINGS.md section 3	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	B118's Bourbaki fixed-root computation is not re-run.
1072	B1039_v_valued_residual	FINDINGS.md, SEAM-LOCALITY section	LEAD	NOISE		with empty support there is nothing to classify. The forbid is neither passed nor failed
1074	B1039_phi_fixed_and_metallic_exponent	FINDINGS.md section 1, DEFECT 2	LEAD	CONSISTENT	test_b1039 locks it	The universally quantified statement -- two involutions whose product is an involution commute -- is verified here for the first time
1075	B1039_phi_fixed_and_metallic_exponent	FINDINGS.md section 3	LEAD	CONSISTENT		the induction for general m was never written down, and that gap is carried, not closed
1077	B1039_phi_fixed_and_metallic_exponent	FINDINGS.md section 5, correction note on B141 Item 4 / B564	LEAD	CONSISTENT		This arc restored the cluster's own open question as open when it had been settled four hundred arcs later. ... Only a corpus-wide search on the TOPIC finds it -- which is exactly what banding by B-number prevents.
1079	B1040_fl4_observer_battery	FINDINGS.md, Scope and honesty section	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	A step whose consumption could not be decided from the banked text alone would have been marked UNDECIDABLE -- none needed the mark
1080	B1040_isomonodromy_restored	FINDINGS.md section 2(i)	LEAD	CONSISTENT	no Picard lattice / homological action computed anywhere	No Picard lattice and no homological action is computed anywhere in the cluster.
1081	B1040_isomonodromy_restored	FINDINGS.md section 2(ii)	LEAD	CONSISTENT		A repo-wide search for `6g−6` returns exactly two hits, neither a computation.
1082	B1040_isomonodromy_restored	FINDINGS.md section 2(iii)	LEAD	CONSISTENT	test_b1040 restates the assert-not-compute defect	B169's two P3 checks pass `True` literally -- they assert, they do not compute.
1083	B1040_isomonodromy_restored	FINDINGS.md section 2(ii), quoting docs/OPEN_LEADS.md:209	LEAD	CONSISTENT		the 'exactly two cubic surfaces' dim-count is classical-known ... not a discovery
1084	B1041_theta_leg	PREREGISTRATION.md, banked substrate section	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	Elimination is not exhibition... this cell's entire content is the COMPATIBILITY check.
1085	B1041_the_red_locks	FINDINGS.md:90	LEAD	CONSISTENT		git refuses those paths, so they were never committed and no clone has ever had them.
1086	B1041_the_red_locks	FINDINGS.md:73	LEAD	CONSISTENT	the d3_results.txt defect never repaired (B1041)	The narrower true claim is that it was never repaired: the script still prints it, the banked d3_results.txt still carries the wrong conclusion
1088	B1042_the_error_ledger	FINDINGS.md:12 (section header)	LEAD	NOISE		THE REGISTER STOPPED, AND NOTHING SAYS SO
1089	B1042_the_error_ledger	FINDINGS.md:26	LEAD	NOISE		the three registers whose entire job is currency are all outside it
1090	B1043_triple_assembly	FINDINGS.md:31-32	LEAD	CONSISTENT		the assembly's presentation complex has no 3-cells — the genuine three-slot cup H¹×H¹×H¹ → H³ has NO TARGET here
1091	B1043_the_band_is_the_wrong_unit	FINDINGS.md:27	LEAD	CONSISTENT		B141 and B142 carry no forward pointer to B564 — verified
1092	B1044_gamma_ledger	FINDINGS.md:11	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	the Γ-column is EMPTY — 0 of 20 Layer-2/3 steps consume the group Γ = π₁(m004) itself
1093	B1044_gamma_ledger	FINDINGS.md:16	LEAD	NOISE		Zero UNDECIDABLE: every arc names its own construction basis
1094	B1045_middle_band_mapped	FINDINGS.md (section 1, re: B485)	LEAD	NOISE		None of the four fingerprints matched a single term of it
1096	B1047_the_seam_cluster	FINDINGS.md section 'Three self-corrections', item 2	LEAD	CONSISTENT	checked: B379 has FINDINGS.md and arc_verdict.json only	frontier/B379_selection_rule_reduction/ contains no .py at all
1097	B1048_the_seam_cluster_closed	FINDINGS.md, 'The headline is not the seam' section	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	measured with this arc's rows excluded: B426 appears on none of the five curated surfaces
1098	B1048_the_seam_cluster_closed	arc_verdict.json claim_one_line	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	B1046 ... explicitly refused to bulk-write 31 RETRACTIONS rows without 31 body reads
1101	B1050_the_projective_wall	FINDINGS.md 'L166' section	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	L166 ... no gate built ... Repairing the fourteen arc_verdict.json files would move what every downstream sweep counts ... which makes it an owner call, not a drafting one
1102	B1051_the_band_closed	FINDINGS.md 'Registered, not fixed'	LEAD	CONSISTENT	checked: no test_b55_/test_b57_	B55 and B57 have probe.py and no test lock at all -- two arcs with PRODUCES-PROOF-MODULE content and zero lock coverage
1103	B1052_the_handoff	FINDINGS.md 'the honesty clauses'	LEAD	NOISE	that seat's bench	a third of the corpus read, snappy, sage, cypari, flint all absent
1104	B1053_the_unread_handoffs	FINDINGS.md '2. Its P4 stratum has no arc'	LEAD	NOISE		No arc's claim line claims an early-era stratum.
1106	B1053_the_unread_handoffs	FINDINGS.md 'The gap, first, because it is mine'	LEAD	NOISE		The gap surfaced because the owner asked whether the handoffs were mine. Not because I checked.
1107	B1054_review_one	cross-arc, referenced from B1053 but consistent with B1054's own §1 findings	LEAD	NOISE		No arc's claim line claims an early-era stratum.
1108	B1054_review_one	FINDINGS.md 'The loop, and one item that is now three reviews old'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	The last parseable ### Action items block on this branch is Review 37; R38-R42 carry none.
1109	B1054_review_one	FINDINGS.md 'What it found in the advancement'	UNSWEEPABLE	SUPERSEDED	"docs/LAW_MAP.md now has ""## G. The programme's method-laws (findings about the record-machine itself)"" (l.247); B1181 registers a method-law row there"	LAW_MAP has no section for methodology
1113	B1062_bridge_cell	FINDINGS.md, Riders and honest edges	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	"the specific geometric octic root unidentified (robustness covers the verdict) · the exact bronze trace field uncomputed beyond ""contains degree 8"""
1115	B1063_refresh_verdict	FINDINGS.md, 'The trigger, and a defect found with it'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	the arXiv route works). Recorded as a fetch-currency defect (the species: a fetch that cannot reach the current source silently adjudicates against a stale one)
1116	B1063_refresh_verdict	FINDINGS.md, 'The trigger, and a defect found with it'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	B1027's verdict-time fetch returned the stale 5.2 (the nu-fit.org certificate failure is the live suspect
1117	B1064_cusp_torus_repose	FINDINGS.md, V1 Leg 2	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	"B1034's own search: the stage was never banked as attaching to ANY boundary (""no hit"")."
1119	B1064_cusp_torus_repose	FINDINGS.md, 'The new named missing piece'	LEAD	CONSISTENT		a banked mechanism that either (a) restores a quantized boundary sector ... none is known
1120	B1066_lane3_nomination	FINDINGS.md, 'THE VERDICT' inputs note	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	the nu-fit.org certificate expired — the standing infrastructure defect; the arXiv mirror carries only 6.0
1121	B1066_lane3_nomination	FINDINGS.md, R-A row	LEAD	NOISE		no legitimate pair sums to 1
1122	B1066_lane3_nomination	FINDINGS.md, 'The residual, honestly'	LEAD	CONSISTENT		the listener map (which physical apparatus is which listener state u) remains unconstructed
1123	B1067_rayclass_harvest	w1_results.json, claim 'unharvested-flag-cmbc'	LEAD	SUPERSEDED	B921 harvested harvest/second_round_cm_bost_connes.md to main (as #998)	The loss audit explicitly flags harvest/second_round_cm_bost_connes.md as UNHARVESTED on origin/main
1124	B1067_rayclass_harvest	FINDINGS.md, 'The sharpest census find'	LEAD	CONSISTENT		K's class group is OPEN — the principality of p1(953) (and q1(5)) is undecided in the corpus
1125	B1067_rayclass_harvest	FINDINGS.md, census gap-list	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	Systematic prime-splitting census: absent -- only incidental primes ... no chi_5(p) = (p|5) table, no density/Chebotarev statement anywhere
1126	B1067_rayclass_harvest	FINDINGS.md, census gap-list	LEAD	CONSISTENT		Hecke palette of the field itself: zero Hilbert-modular content in the repo (grep 'Hilbert modular' = 0 hits)
1127	B1067_rayclass_harvest	FINDINGS.md, census gap-list	LEAD	STANDS	h(Q(sqrt5)) = 1 never computed in-repo; PARI here: 1	Class-number statement: h(Q(sqrt5)) = 1 is only ever ASSERTED as a stored 'well known' constant ... never computed in-sandbox by reduced forms or Minkowski bound
1128	B1067_rayclass_harvest	FINDINGS.md, census gap-list	LEAD	STANDS	no zeta_{Q(sqrt5)} special value in repo	Dedekind zeta of the field: no zeta_{Q(sqrt5)} special value anywhere
1129	B1067_rayclass_harvest	FINDINGS.md, census gap-list	LEAD	STANDS	phi's minimality never proved in-repo; PARI fundamental unit = -phi (checked)	Fundamental-unit MINIMALITY: phi is used as the fundamental unit throughout but its minimality is never proved in-sandbox
1131	B1068_descent_inventory	FINDINGS.md row crit1-... (via census inheritance, same theme as B1067)	LEAD	CONSISTENT	no Hecke eigenvalue of a Gamma_41 newform on main (as #703/#1006)	not one Hecke eigenvalue of any Gamma_41 newform has ever been computed
1132	B1069_hearing_biography	FINDINGS.md, opening of 'THE HEARING BIOGRAPHY' section	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	Draft. Unbanked exploratory scratch (no PREREGISTRATION, no hash, no PROGRESS_LOG entry -- WORKING_RULES §3-4).
1133	B1069_hearing_biography	FINDINGS.md, 'The B92 correction'	LEAD	NOISE		No test in the repo locks the h=2 claim (grepped, zero hits) — nothing load-bearing breaks
1134	B1069_hearing_biography	FINDINGS.md, Typing table, Real multiplication row	LEAD	NOISE		'real multiplication' occurs exactly once (B672 ...); 'abelian surface' 0 hits; 'Hilbert modular' exactly 1 hit
1136	B1070_listener_derivation	FINDINGS.md header	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	EXPLORATION-GRADE per the dual protocol — the promotion path is named at the end
1138	B1070_listener_derivation	FINDINGS.md, AMENDMENT 2026-08-18	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	B1011 C5 explicitly declines the derivation
1139	B1070_listener_derivation	PROGRESS_LOG.md, 2026-08-29 entry on the creates_law re-audit (log_index/B1070.txt)	LEAD	CONSISTENT	checked: no test_b1070/test_b1073	B1070 and B1073 have none at all [test locks]
1140	B1071_sealed_listener	PREREGISTRATION_V1_SUPERSEDED.md, 'SCOPE'	LEAD	CONSISTENT		AC3 (the sister transplant) gates on the silver instrument's build, and AC6 ... is a separate, unattempted run
1142	B1072_silver_instrument	FINDINGS.md, 'The group — NOT the golden pattern'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	no order-5 anywhere (kappa = 6 has no room for a 5)
1144	B1073_composition_gate	log_index/B1073.txt, PROGRESS_LOG.md B1214 entry (2026-08-29)	LEAD	CONSISTENT	as #1139	B1070 and B1073 have none at all [test locks]
1145	B1074_residue_hunt	FINDINGS.md AMENDMENT section	LEAD	CONSISTENT		the kind table's own admissible pairing coupling -> moduli (|tone| <-> |V_ij|) has never been contacted
1147	B1077_intrinsic_split	FINDINGS.md 'What it closes and what it aims' / L154 companion paragraph	LEAD	CONSISTENT		no forcing bridge banked; the direct construction site not-posable (B1064-O3)
1149	B1078_gauge_selection	b1078_results.json 'f' block headline	LEAD	NOISE		B931's mechanism that explains D2's 953... has no chi_a/chi_b analogue anywhere in the repo
1153	B1093_route_a_arithmetic	FINDINGS.md item 1	LEAD	GENERIC		the robustness check the source never ran
1155	B1097_first_step_losses	FINDINGS.md section 1	LEAD	NOISE		the circle (intercept) and ray (unit) were NEVER THERE
1156	B1098_nonabelian_hatch	FINDINGS.md section 4, item 1	LEAD	CONSISTENT		no dynamical mechanism selecting A2 is claimed
1157	B1099_route_a_counter	FINDINGS.md section 1	LEAD	CONSISTENT	literature	No theorem in the literature searched counts G(Z)-orbits inside a G(Q)-orbit for the (E6, 27) or (E6, 27⊕ 27̄) space with the cubic algebra K as the classifying datum.
1158	B1099_route_a_counter	FINDINGS.md section 1	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	the neighboring Freudenthal cases (D6/32, E7/56) are explicitly logged OPEN in that paper
1159	B1099_route_a_counter	FINDINGS.md section 1	LEAD	GENERIC		unproved anywhere we could reach
1160	B1102_exact_hypercharge_solve	FINDINGS.md 'Uniqueness (C2)'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	An order-36 symmetry lead (which would organize the 18 into orbits) was not confirmed — named open, not claimed.
1162	B1103_being_gate	FINDINGS.md 'Flags carried honestly'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	'Eight of nine letters appear' is census-definition-dependent and UNREPRODUCED
1163	B1104_fourd_suspension	FINDINGS.md 'C1'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	No infinite-order suspension of M exists
1164	B1105_wall_scope	FINDINGS.md 'THE FINDING'	UNSWEEPABLE	CONSISTENT	unsweepable single term; the language-derivation claim stands as B1105 own finding	NO banked result derives any language from another
1165	B1105_wall_scope	FINDINGS.md 'THE FINDING'	LEAD	NOISE		the 'one fact' identity is an observed convergence of conclusions, not a proven equivalence of statements
1166	B1107_oneloop_harvest	PROGRESS_LOG.md (log_index quoting B1207, 2026-08-29) -- this refers to the sibling arc B1113, not to B1107 itself, but is worth cross-noting since B1107's verifier ran cleanly here	LEAD	SUPERSEDED	B1207 later ran the slow lane (as #1041)	the verifier has not executed once since it was banked
1167	B1108_c5_archimedean	FINDINGS.md, 'The answer: NO -- structural, not a coverage gap'	LEAD	CONSISTENT	B8115 closes C5 negative in agreement	No volume, no regulator, no torsion, no Laplacian determinant, no archimedean height
1168	B1109_selection_cluster	FINDINGS.md F1b section	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	no hypercharge u(1) exists at all for diagonal-type color
1169	B1111_w5_scoping	FINDINGS.md, item 1	LEAD	CONSISTENT		No deformation in the affine class makes any single element's locus 0-dim.
1170	B1113_tmeter	PROGRESS_LOG.md B1207 (log_index for B1113, quoting the review), external to this arc's own committed files	LEAD	SUPERSEDED	as #1166	the verifier has not executed once since it was banked
1171	B1114_lorentz_double	FINDINGS.md 'THE SIGNATURE IS THE OBSERVER'S'	LEAD	CONSISTENT		no field automorphism of C/Q -- in particular the object's own mirror (q -> 1-q Galois twist) -- can swap them
1172	B1118_deflation	shared with B1109, not re-stated verbatim here but cross-referenced	LEAD	CONSISTENT	B1109 is the source	No hypercharge u(1) exists at all for diagonal-type color
1173	B1119_anomaly_resolved	FINDINGS.md Fences	LEAD	SUPERSEDED	B1125 NO-COMPACT-HOST answers it (as #1048)	the compact-color question is open
1175	B1121_pair_orbits	B1121_pair_orbits/FINDINGS.md and b1121_pairs.py docstring	LEAD	CONSISTENT		reimplemented from the outside session's description (the scripts were not shipped)
1176	B1123_forcedness_census	B1123_forcedness_census/FINDINGS.md	LEAD	CONSISTENT		The forcedness was never written as ONE fact: it lived distributed across 43 link-labels in docs/THEOREM_LEDGER.md
1177	B1126_identification	B1126_identification/FINDINGS.md	LEAD	CONSISTENT		a repo-wide grep for any Kashaev ↔ PMNS/neutrino connection returns ZERO
1178	B1128_instrument_null	context shared with B1126, referenced in this arc's framing of the value campaign	LEAD	CONSISTENT		a repo-wide grep for any Kashaev ↔ PMNS/neutrino connection returns ZERO
1179	B1129_natural_values_disjoint	b1129_NOTES.md	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	A repo-wide search for co-occurrence of magic-square / Barton–Sudbery / E₆-structure-constant vocabulary with Koide / lepton-mass vocabulary returns nothing beyond this probe's own construction.
1182	B1133_c4_single_end	b1133_NOTES.md, 'Zeroth finding'	LEAD	CONSISTENT	checked: no twoended_checkpoint.pkl	No `twoended_checkpoint.pkl` exists anywhere in the repo (confirmed by search) to recover the larger run.
1183	B1133_c4_single_end	"b1133_NOTES.md, 'Zeroth finding: the ""0 trusted digits at N<=70M"" claim doesn't match what's on disk'"	LEAD	CONSISTENT	no on-disk N=70M artefact on any head; only changelog echoes	"the prose (FINDINGS.md/NOTES.md/arc_verdict) describes a run ""pushed toward N=70M... stopped at ~1hr"" that is not the file on disk"
1185	B1137_regulator_probe	ADDENDUM_2026-09-01_floor_reclassification_proposal.md, 'Assumption carried' paragraph	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	the pruned 25-element basis is taken to be ℚ-linearly independent with 1, as the arc asserts; basis_hygiene_check.py is not in the arc dir.
1186	B1140_the_64_organized	FINDINGS.md, 'Scope + conventions (held)'	LEAD	OPEN_LATER	discharged on origin/claude/outside-bench: memo 33 THE_64_GLUED + certificates/a2_glue64.py (theta a bracket-equivariant bijection sl3(S0)<->sl3(S1), 3<->3bar on the 54); seat reran it here, all checks True (R49); not yet on main	NOT checked (honestly flagged): the memo's further remark that an antilinear θ glues the two real spin-2's into one complex spin-2 (10 real dims) leaving 54 colored bi-vectors ... Not confirmed, not refuted. The arithmetic (10 + 54 = 64) is consistent; the gluing itself is uncomputed here.
1188	B1143_bl_fourth_cartan	FINDINGS.md, 'SP-4 -- FLAGGED'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	At bank time no primary SP-4 text was in-repo; the '2592' grep hits were coincidental.
1189	B1143_bl_fourth_cartan	FINDINGS.md, 'SP-3 -- table invariance CONFIRMED; the 36/36 count FLAGGED'	LEAD	CONSISTENT		neither battery -- nor natural degree-<=3 monomial counts on 2 or 5 charges -- reproduces the memo's specific 36 without fitting to that number; the anomaly-freedom is real, the count '36/36' is not independently reproduced.
1193	B1148_carrier_harvest	frontier/B1148_carrier_harvest/ADDENDUM_2026-09-01_chain_conventions.md, 'Committed-tree fence' section	LEAD	CONSISTENT	CLAIM_CANDIDATES restates; check_charge_bracket.py and the certificates exist only on outside-bench/codex/structure-genesis heads, not main	B1148's certificates live only on `origin/claude/outside-bench @ d3c99640`; the π₁ action on the 27 is not defined in the committed tree.
1195	B1154_seam_y	frontier/B1154_seam_y/FINDINGS.md, 'Provenance debt' section	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	"codex's **primary** height-308 derivation (`YUKAWA_CUP_PRODUCTS_308`, `YUKAWA_EXACT_SPECTRUM_NO_GO` + verify scripts) is **off-branch and unversioned** — `~/oa-audit-seat/`, which `git` reports as ""not a git repository""."
1197	B1155_seam_a	frontier/B1155_seam_a/FINDINGS.md header	LEAD	SUPERSEDED	"B1162 claim_one_line: the height-308 witness is ""now DUAL-HOMED (codex off-branch + main-sage)""; the provenance debt as of B1155 is discharged for the witness, the codex construction itself stays cited"	codex's construction is off-branch (provenance debt)
1198	B1156_seam_a_gate2	frontier/B1156_seam_a_gate2/FINDINGS.md, 'Fences' section	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	This seat did **not** construct the Arakelov-compactified action (Gate 2 remains NEEDS-SPECIALIST) and did **not** re-run codex's off-branch ζ₁₂/dP₆ construction.
1200	B1159_mssm_debt_ledger	frontier/B1159_mssm_debt_ledger/b1159_results.json:23	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	no functor identifies m004's McKay object with a heterotic gauge bundle
1201	B1159_mssm_debt_ledger	frontier/B1159_mssm_debt_ledger/FINDINGS.md:64	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	The load-bearing witness is single-homed; the branch carries only summaries.
1204	B1161_frontier_sweep	frontier/B1161_frontier_sweep/b1161_results.json:34	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 3)	the down-Yukawa char-0 tensor entries not built on any committed branch (only GF(1009) tail reps off-branch) -- BENCHABLE artifact, provenance debt
1205	B1161_frontier_sweep	frontier/B1161_frontier_sweep/b1161_results.json:37	LEAD	CONSISTENT	B1162 D4 confirms generation-NULL; B1195 batch5a restates	generation-index: NULL (no object index forces 3)
1206	B1162_mssm_debt_closure	frontier/B1162_mssm_debt_closure/FINDINGS.md:12	LEAD	CONSISTENT	B1162 is the closure of exactly this	B1159 built the condition ledger but relayed the witness (single-homed off-branch).
1207	B1162_mssm_debt_closure	frontier/B1162_mssm_debt_closure/FINDINGS.md:54	LEAD	OPEN_LATER	check_charge_bracket.py exists on origin/codex/seat-r001 and the structure-genesis head; the seat re-ran cloud breaking_chains.py and susy_test.py on this bench (R47): both pass; B1162 D3/D5 stay cited-on-main, verified-here	cloud's breaking_chains.py / susy_test.py assert GREEN but need cloud's deeper stack (a check_charge_bracket), so cited, not re-run
1208	B1163_w0_attempt	frontier/B1163_w0_attempt/ADDENDUM_orientation_theorem.md:8	LEAD	CONSISTENT	"B1180/B1181 retract only the family-separator framing; the m004 orientation theorem is ""UNTOUCHED"" per B1180 claim_one_line"	No object-canonical datum can orient m004
1210	B1163_w0_attempt	frontier/B1163_w0_attempt/FINDINGS.md:76	LEAD	CONSISTENT		the CY3 witness is off-branch but R2 re-derived its load-bearing det=+1/H3 facts independently, so the negative does not rest on it
1212	B1165_gravity_terminal	frontier/B1165_gravity_terminal/FINDINGS.md (Fences section)	LEAD	SUPERSEDED	"B1181 closes it: 83/83 amphichiral by the mirror-isometry method, ""deliberately NOT the isometry_signature route"""	SnapPy's isometry_signature returned amphichiral=True even for the chiral 5_2 -- so the B1163 family-wide addendum's own 4/14 amphichirality spot-check was likely vacuous
1214	B1167_seat_harvest	frontier/B1167_seat_harvest/b1167_results.json:8	LEAD	SUPERSEDED	as #1197 (B1162 dual-homing of the witness)	codex's height-308 up-Yukawa proof was single-homed off-branch
1215	B1169_qualia_parity_synthesis	frontier/B1169_qualia_parity_synthesis/FINDINGS.md:16 (QP-4 NO-HATCH)	LEAD	CONSISTENT	B1183 identifies the QP-4 obstruction class with the orientation class; it does not supply a self-closure	no object-native self-closure
1217	B1170_arena_rescope	B1170_arena_rescope/FINDINGS.md:14-15	LEAD	CONSISTENT		Zero object tokens in the executable code (no E₆, no 27, no m004, no trace field — their step-6 token audit; one prose comment disclosed, not swept).
1219	B1172_lose_nothing_register	B1172_lose_nothing_register/FINDINGS.md:40-41	LEAD	CONSISTENT		the firewall's own design: relays are deliberately untracked, so nothing preserved them; a between-sessions cleanup silently deleted the batch
1220	B1172_lose_nothing_register	B1172_lose_nothing_register/FINDINGS.md:43-44	LEAD	CONSISTENT		for the other seven the ledger note is main's entire record — L114_DISCHARGE among them, the relay whose July twin was already lost once
1221	B1175_charter_close_harvest	B1175_charter_close_harvest/verification/reproduce.sh:11-13	LEAD	CONSISTENT	B1215 FINDINGS l.37 repeats: not vendored, the script cannot re-execute them	Those certificates are not vendored here, so this file cannot re-execute them -- and it must not claim to.
1222	B1176_record_surface_wave	B1176_record_surface_wave/FINDINGS.md:7-13	LEAD	CONSISTENT		the gap B817's writer-safety gate caught in the first full OA_SLOW run (R52-4, 2026-08-29). What follows is authored from this arc's own banked record ... Nothing is supplied from memory and no computation is re-narrated that the record does not carry
1223	B1177_instrument_bundle	B1177_instrument_bundle/reproducer_debt.md:8	LEAD	CONSISTENT	the 21 reproducer debts; B1207 discharges the OA_SLOW nine, not this list	The 21 (the debt): B1000_input_count, B1067_rayclass_harvest, ... B998_genesis_locks
1224	B1177_instrument_bundle	B1177_instrument_bundle/FINDINGS.md:20	LEAD	CONSISTENT		disposition rule: each future touch ships its runner/lock same-commit ... NO retro mass-authoring (a runner written from memory certifies nothing — E51's cousin)
1225	B1177_instrument_bundle	B1177_instrument_bundle/FINDINGS.md:24	LEAD	SUPERSEDED	B1207: the first-ever complete OA_SLOW run finished (4 h 45 min; 9 failed / 5702 passed / 5 skipped) and the nine are triaged there	THE OA_SLOW SHADOW SUITE: 50 gated files enumerated, the first-ever run LAUNCHED (never run by any runner before ...) — last-green lands in the same addendum
