idx	arc	where	terms	hits	top	quote
167	B765_p3_depth	results.json (B489 entry)	stabilization universal induction checked	main=14,all=91	CHANGELOG.md ; PROGRESS_LOG.md ; docs/OPEN_LEADS.md ; docs/SEAL_LEDGER.md ; f/B742_negatives_hunt_p1/stageA/bprime_annotations.json	n=1..8 checked; claim universal; no induction/stabilization proof
168	B765_p3_depth	results.json (B500 entry)	depth-uniform obstruction unswept depth	main=9,all=47	CC3_TO_CC_2026-07-22_p3_complete.md ; f/B742_negatives_hunt_p1/stageA/bprime_annotations.json ; f/P3_depth_exposure/compute.py ; f/P3_depth_exposure/output.txt ; f/P3_depth_exposure/results.json	depth>=6 unswept; no depth-uniform obstruction proved
169	B765_p3_depth	FINDINGS.md:97-98	finite-extension mathematics induction framework	main=1,all=7	f/P3_depth_exposure/FINDINGS.md	None requires new mathematics — all are finite-extension or induction proofs within the existing framework. But none has been executed.
170	B768_correspondence_crosstest	FINDINGS.md line 33	literature citations package zero	main=27,all=173	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/NOVELTY_AUDIT.md ; docs/OPEN_LEADS.md ; DEL:docs/REVIEWS.md	Zero literature citations in the package
171	B768_correspondence_crosstest	FINDINGS.md lines 37-38	unverifiable enumeration uniqueness assignment	main=4,all=21	f/B742_negatives_hunt_p1/stageA/journals/run2_wf4ac2653a_journal.jsonl ; f/B775_phase2_wave1/wave1_results.json ; docs/views/VERDICT_LEDGER.md ; CHANGELOG.md ; PROGRESS_LOG.md	The uniqueness claim is UNVERIFIABLE AS DELIVERED: the 8-primitive / 18-assignment enumeration is not in the package.
172	B768_correspondence_crosstest	FINDINGS.md line 83	enumeration undelivered assignment blocked	main=2,all=15	f/B770_closure_census/census.json ; f/B775_phase2_wave1/wave1_results.json ; outside_bench/THE_OWNER_REGISTER.md	The null (rule 2): STILL BLOCKED — the 18-assignment enumeration remains undelivered
173	B771_phase1_wave1	FINDINGS_WAVE2.md:26 (W2-149 row)	negative-control artifacts failures actually	main=6,all=27	papers/VALIDATION_LEDGER.md ; CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/progress/REVIEWS.md	the claimed "12 genuine FAILUREs" negative-control run exists nowhere in the artifacts. Carry: actually run the control.
174	B771_phase1_wave1	FINDINGS_WAVE2.md:24 (W2-270 row)	resolved-a unresolved reported verdict	main=27,all=186	CHANGELOG.md ; PROGRESS_LOG.md ; docs/progress/REVIEWS.md ; f/B773_chord_recompute/cells/W4-304c/compute.py ; f/B773_chord_recompute/chord_results.json ; DEL:docs/PROGRESS_LOG.md ; DEL:f/B775_phase2_wave1/cells/_verify_Z1/compute.	compute.py's verdict branch can only emit RESOLVED-A/B — "UNRESOLVED" appears nowhere — and the run never reached depths 9–11. The reported UNRESOLVED was the agent's prose, not the script's output.
175	B771_phase1_wave1	FINDINGS_WAVE3.md:24 (W3-270r row)	wave-2 truncated reached output	main=6,all=34	CHANGELOG.md ; PROGRESS_LOG.md ; docs/OPEN_LEADS.md ; docs/progress/REVIEWS.md ; docs/RELAY_LEDGER.md	output truncated at depth 9 again; never reached 10–11; no results.json — the SAME Wave-2 defect.
176	B771_phase1_wave1	FINDINGS_WAVE3.md:26 (W3-150r row)	resolved-a verdict script output	main=14,all=90	CHANGELOG.md ; PROGRESS_LOG.md ; docs/LAW_MAP.md ; docs/SEAL_LEDGER.md ; docs/progress/REVIEWS.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md	compute.py has no VERDICT logic — RESOLVED-A is agent prose, not script output.
177	B771_phase1_wave1	FINDINGS_WAVE3.md:28 (W3-078 row)	self-fulfilling resolved-b verdict branch	main=1,all=7	PROGRESS_LOG.md	the verdict branch can't emit RESOLVED-B (self-fulfilling).
178	B771_phase1_wave1	FINDINGS_WAVE3.md:29 (W3-084 row)	k-theory actually decisive collar	main=2,all=14	CHANGELOG.md ; PROGRESS_LOG.md	it never gates on whether the 1-collar actually FORCES the border (the decisive K-theory check).
179	B771_phase1_wave1	FINDINGS_WAVE4.md:20 (W4-115 row)	cover-torsion isolated relates charge	main=5,all=36	CHANGELOG.md ; PROGRESS_LOG.md ; f/B774_chord_pass/stageA_scan.json ; f/B778_cleanup/FINDINGS.md ; f/B778_cleanup/cells/CL-W4115/compute.py	no law relates cover-torsion to charge tower e_n at trace level (n=5 hit isolated).
180	B771_phase1_wave1	FINDINGS_WAVE4.md:28 (W4-139 row)	birational asserted genus lower	main=5,all=35	CHANGELOG.md ; docs/views/VERDICT_LEDGER.md ; f/B738_pathfinder_compiler/kill_graph.json ; f/B778_cleanup/cells/CL-W5139/compute.py ; papers/VALIDATION_LEDGER.md	the "genus ≥ 1" lower bound is asserted in prose, never computed (needs the birational Fxz→G step).
181	B771_phase1_wave1	output.txt:7	oi-031 unresolved question remains	main=4,all=29	PROGRESS_LOG.md ; f/B770_closure_census/CENSUS.md ; f/B770_closure_census/census.json ; f/B771_phase1_wave1/wave1_results.json ; docs/LAW_MAP.md	e3's exact closed form remains UNRESOLVED -- that is OI-031's question, not this cell's; this cell's verdict does not depend on it.
182	B772_negatives_adequacy	FINDINGS.md:15-16	chord-level negative corpus analog	main=6,all=43	CHANGELOG.md ; PROGRESS_LOG.md ; docs/ERROR_LEDGER.md ; docs/SEAL_LEDGER.md ; f/B774_chord_pass/stageA_scan.json	No negative in the corpus has ever computed a chord-level analog of its own target and found THAT also empty.
183	B773_chord_recompute	FINDINGS.md:49-51 (W3-067c entry)	certification docstring covers trace	main=14,all=95	CHANGELOG.md ; PROGRESS_LOG.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/progress/REVIEWS.md ; docs/views/VERDICT_LEDGER.md	the certification covers only tr(a), not the full trace field ⟨tr a, tr b, tr ab⟩ the cell's own docstring names
184	B773_chord_recompute	audit_results.json:89 (W3-067 rationale,	trace-field cross-check certification groebner	main=7,all=45	docs/views/VERDICT_LEDGER.md ; f/B199_metallic_exponent_law/workflow_result.json ; f/B738_pathfinder_compiler/kill_graph.json ; f/B770_closure_census/census.json ; f/B771_phase1_wave1/wave3_results.json	No exact Sage/Groebner trace-field certification was run as a cross-check.
185	B775_phase2_wave1	FINDINGS_WAVE3.md:15 (P2W3-H4)	object-native figure-eight arithmeticity uniquely	main=12,all=68	CHANGELOG.md ; PROGRESS_LOG.md ; docs/views/VERDICT_LEDGER.md ; f/B738_pathfinder_compiler/kill_graph.json ; f/B770_closure_census/census.json	there is no object-native reason the figure-eight is uniquely minimal along arithmeticity — that is Reid's separate deep theorem
186	B775_phase2_wave1	FINDINGS_WAVE2.md:15 (P2W2-PERLETTER)	non-arbitrary per-letter amplitude hearing	main=1,all=7	CHANGELOG.md	no non-arbitrary per-letter hearing weight is forced: the hearing amplitude factors as q(RL)=θ_fund·q(L) with the per-letter split a FREE knob
187	B775_phase2_wave1	FINDINGS_WAVE2.md:14 (P2W2-DARKBRIGHT)	closed-form effective criterion verified	main=13,all=86	CHANGELOG.md ; PROGRESS_LOG.md ; docs/views/VERDICT_LEDGER.md ; f/B199_metallic_exponent_law/workflow_result.json ; f/B530_natural_history/FINDINGS.md	a verified EFFECTIVE bright/dark test exists, but no closed-form seed criterion
188	B775_phase2_wave1	FINDINGS.md:16 (P2-D5)	property courier object item	main=13,all=88	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/ERROR_LEDGER.md ; docs/LAW_MAP.md ; DEL:docs/PROGRESS_LOG.md	the courier's T4 item is not a property of THIS object
189	B775_phase2_wave1	output.txt:35-36	sigma-automorphism involution imported alphabet	main=4,all=28	f/B775_phase2_wave1/cells/P2-AABB/compute.py ; f/B775_phase2_wave1/cells/P2-AABB/output.txt ; f/B775_phase2_wave1/cells/P2-AABB/results.json ; f/B775_phase2_wave1/wave1_results.json	NO native involution -- a<->b is not a sigma-automorphism ... the case bit {a,A} is imported (not in sigma's alphabet)
190	B775_phase2_wave1	FINDINGS_WAVE4.md:13 (P2W4-L38)	forced number tiny	main=93,all=605	AUDIT_REPORT.md ; CHANGELOG.md ; CLAIMS.md ; GOVERNANCE.md ; PROGRESS_LOG.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md	no forced tiny number
191	B775_phase2_wave1	FINDINGS_WAVE4.md:29	represented positives terminal survived	main=4,all=29	CHANGELOG.md ; PROGRESS_LOG.md ; docs/progress/REVIEWS.md ; docs/views/VERDICT_LEDGER.md ; docs/OPEN_LEADS.md	Every terminal state represented; no forced positives survived.
192	B775_braver_questions	FINDINGS_FINAL.md line 45, re: the theta	candidate known fills	main=23,all=152	CHANGELOG.md ; PROGRESS_LOG.md ; docs/LAW_MAP.md ; docs/OPEN_LEADS.md ; docs/STRUCTURE_TO_NATURE_MASTERPLAN.md	No known candidate fills them.
193	B775_braver_questions	FINDINGS_FINAL.md line 13	orch-or discipline competing framework	main=1,all=7	f/B777_braver_questions/FINDINGS_FINAL.md	No competing framework (IIT, GNW, ORCh-OR, HOT) subjects itself to this discipline.
194	B775_braver_questions	FINDINGS_FINAL.md line 45	generator-pair candidates structure triadic	main=5,all=35	f/B768_correspondence_crosstest/FINDINGS.md ; f/B770_closure_census/census.json ; f/B777_braver_questions/FINDINGS_FINAL.md ; f/B777_braver_questions/FINDINGS_PARALLEL.md ; f/B777_braver_questions/MASTERPLAN.md	None of the three triadic T1 candidates (vedanā, Peirce, Husserl) cleanly match the S₃ generator-pair structure.
195	B775_braver_questions	FINDINGS_FINAL.md line 69	structural program generic tested	main=124,all=785	CHANGELOG.md ; METHOD.md ; PROGRESS_LOG.md ; README.md ; ROADMAP.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md	The program has never tested whether its structural crown jewel is generic to the class.
196	B776_b685_homework	FINDINGS.md line 20	in-repo reconstructed principles first	main=11,all=72	CHANGELOG.md ; PROGRESS_LOG.md ; docs/OPEN_LEADS.md ; docs/SEAL_LEDGER.md ; docs/progress/REVIEWS.md	For the FIRST TIME in-repo, Φ(h)Φ(−h) was reconstructed FROM FIRST PRINCIPLES (not cited)
197	B777_braver_questions	CC_VERIFY_V4GENERICITY.md line 30	figure-eight separate volume sister	main=40,all=254	AUDIT_REPORT.md ; CHANGELOG.md ; CLAIMS.md ; PROGRESS_LOG.md ; ROADMAP.md ; DEL:docs/PROGRESS_LOG.md	V4 + volume does NOT separate the figure-eight from its sister.
198	B778_cleanup	output.txt:41-45)	needs-specialist arithmetic-cs self-flagged uncomputed	main=6,all=42	CHANGELOG.md ; PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; f/B738_pathfinder_compiler/kill_graph.json ; f/B770_closure_census/census.json	the arithmetic-CS bridge to Kim's H^3 action is uncomputed, self-flagged NEEDS-SPECIALIST in LAW_MAP
199	B778_cleanup	compute.py:8-9	reproduced fabricated essential stripped	main=5,all=35	CHANGELOG.md ; PROGRESS_LOG.md ; docs/SEAL_LEDGER.md ; f/B778_cleanup/FINDINGS.md ; papers/VALIDATION_LEDGER.md	'adjoint 7,815' is NOT reproduced by any natural content of the essential adjoint t^2-5t+1 ... FABRICATED -> stripped.
200	B778_cleanup	FINDINGS.md:21-24	cl-w4115 cl-latin fabricated adjoint	main=4,all=28	CHANGELOG.md ; PROGRESS_LOG.md ; docs/SEAL_LEDGER.md ; tests/test_b778_cleanup.py	CL-W4115: strip the fabricated "adjoint 7,815..." string ... Never ran. / CL-LATIN ... Never ran.
201	B779_convergence_probe	R3_scattering_assessment.md:89 (quoting 	hejhal-class unavailable machinery sage	main=4,all=25	CHANGELOG.md ; PROGRESS_LOG.md ; f/B770_closure_census/census.json ; f/B1069_hearing_biography/w3_results.json	Sage/Hejhal-class machinery unavailable.
202	B779_convergence_probe	R6_maass_assessment.py:106-108	weight-0 implementation target maass	main=4,all=23	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/progress/REVIEWS.md ; docs/LAW_MAP.md	For weight-0 Maass forms (the target): ... No implementation exists in this repo.
203	B779_convergence_probe	R7_functor_assessment.md:29	eigenvalues individual wall	main=41,all=285	CHANGELOG.md ; PROGRESS_LOG.md ; docs/NOVELTY_AUDIT.md ; docs/OPEN_LEADS.md ; docs/handoffs/PHYSICS_PATHFINDER_PROMPT_2026-07-21.md ; DEL:docs/REVIEWS.md	individual eigenvalues are NOT COMPUTED (R6' wall)
204	B783_observer_ground_zero	B3_c_test.txt:59-60	well-defined formalizations distinction involution	main=1,all=7	PROGRESS_LOG.md	All three formalizations fail. The level distinction is NOT a well-defined Z/2 involution on the pointer's state space.
205	B783_observer_ground_zero	B3_c_test.txt:122	word-level counterpart resolution	main=4,all=25	CHANGELOG.md ; PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; docs/views/VERDICT_LEDGER.md	THE RESOLUTION: c HAS NO WORD-LEVEL COUNTERPART
206	B783_observer_ground_zero	B3_c_test.txt:186	word-level counterpart conclusion pointer	main=4,all=25	CHANGELOG.md ; PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; docs/views/VERDICT_LEDGER.md	The honest conclusion: c has NO word-level pointer counterpart.
207	B783_observer_ground_zero	FINDINGS.md:39	word-level counterpart	main=4,all=27	CHANGELOG.md ; PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; docs/views/VERDICT_LEDGER.md ; f/B796_coupling_campaign/harvest/repo_observer_formalism.md	c has NO word-level counterpart
208	B783_observer_ground_zero	FINDINGS.md:46	b749 hyperbolization forbids born	main=1,all=7	PROGRESS_LOG.md	B749 F8 independently forbids it: Q(√-3) is born at hyperbolization.
209	B783_observer_ground_zero	C1_synthesis.txt:22-23	distinction involution refuted formal	main=30,all=183	CHANGELOG.md ; PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; docs/LAW_MAP.md ; docs/OPEN_LEADS.md	P16.3 (level distinction = c): REFUTED. No formal Z/2 involution definition exists for "level distinction."
210	B783_observer_ground_zero	C2_adversarial.txt:46-48	b749 permutation because appear	main=13,all=73	CHANGELOG.md ; PROGRESS_LOG.md ; docs/LAW_MAP.md ; docs/SEAL_LEDGER.md ; docs/THEOREM_LEDGER.md	No permutation works because: ... c cannot appear at the word level in ANY slot (B749 F8).
211	B784_trace_map_intertwining	FINDINGS.md:16	programme observer closes trace	main=53,all=300	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; docs/LAW_MAP.md ; DEL:docs/PROGRESS_LOG.md	The observer programme closes 0 bits at the trace level.
212	B784_trace_map_intertwining	FINDINGS.md:84	operation geometric matrix point	main=70,all=446	CHANGELOG.md ; PROGRESS_LOG.md ; TERMINOLOGY.md ; docs/CAMPAIGN_STATUS.md ; docs/ERROR_LEDGER.md ; DEL:docs/REVIEWS.md	No matrix operation at the geometric point can reach γ₅.
213	B784_trace_map_intertwining	FINDINGS.md:167	verified nullity random trials	main=8,all=43	CHANGELOG.md ; PROGRESS_LOG.md ; f/B565_gauge_behavior_campaign/spin9_centralizer_type.py ; f/B771_phase1_wave1/wave1_results.json ; docs/views/VERDICT_LEDGER.md	no such S exists (verified: nullity 0 at 5 random SL(3) trials)
214	B784_trace_map_intertwining	FINDINGS.md:353	trace-map dynamics detect	main=19,all=140	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/OPEN_LEADS.md ; docs/RECURRENCE_ATLAS.md	No trace-map dynamics can detect either θ or ι.
215	B784_trace_map_intertwining	FINDINGS.md:328	non-trivial word-level operation action	main=3,all=26	CHANGELOG.md ; PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; f/B783_observer_ground_zero/B1_theta_test.txt ; f/B783_observer_ground_zero/B2_gamma5_test.txt	No word-level operation produces a non-trivial action on traces.
216	B784_trace_map_intertwining	iota_torsor_position.txt:61	generic inner outer iota	main=10,all=62	PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; docs/OPEN_LEADS.md ; docs/SEAL_LEDGER.md ; docs/THEOREM_LEDGER.md ; DEL:docs/PROGRESS_LOG.md	No inner S exists at generic SL(3): iota is OUTER on W1/W2.
217	B785_cc3_gate_harvest	FINDINGS.md lines 25-26	re-run b575 infrastructure requires	main=6,all=41	CHANGELOG.md ; PROGRESS_LOG.md ; docs/progress/REVIEWS.md ; docs/views/VERDICT_LEDGER.md ; f/B756_remaining_doors/RAW_WORKFLOW_OUTPUT.json	not independently re-run here (requires the B575 infrastructure and ~36 s/point)
218	B785_cc3_gate_harvest	FINDINGS.md line 30	b769 mechanism tangent frames	main=15,all=92	CHANGELOG.md ; PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; docs/SEAL_LEDGER.md ; docs/THEOREM_LEDGER.md ; DEL:docs/PROGRESS_LOG.md	The b769 / C21 "tangent frames align → chord = c⊕θ" mechanism did NOT pass
219	B786_torsor_theta_iota	FINDINGS.md line 8	trace-trivial reversal rank	main=12,all=81	PROGRESS_LOG.md ; docs/THEOREM_LEDGER.md ; docs/views/VERDICT_LEDGER.md ; f/B787_interaction_programme/FINDINGS.md ; f/B787_interaction_programme/MASTERPLAN.md ; DEL:docs/PROGRESS_LOG.md	reversal is trace-trivial at every rank
220	B786_torsor_theta_iota	FINDINGS.md lines 35-36	rank-4 conditional intertwine corrected	main=22,all=139	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/LAW_MAP.md ; docs/OPEN_LEADS.md ; DEL:docs/PROGRESS_LOG.md	its S = diag(1,−1,1) does not intertwine (I flagged it). The rank-4 claim is CONDITIONAL on cc3's corrected S
221	B787_interaction_programme	FINDINGS.md line ~57 (section 2, 'Relabe	relabeling unresolved propagated cleared	main=5,all=35	PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; docs/OPEN_LEADS.md ; docs/views/VERDICT_LEDGER.md ; CHANGELOG.md	The relabeling is OWED and UNRESOLVED, not cleared and not propagated.
222	B787_interaction_programme	test_b787_interaction.py	test-lock b787 interaction written	main=5,all=23	f/B738_pathfinder_compiler/kill_graph.json ; f/B787_interaction_programme/FINDINGS.md ; CHANGELOG.md ; PROGRESS_LOG.md ; docs/views/VERDICT_LEDGER.md	The test-lock (tests/test_b787_interaction.py) is written.
223	B789_theta_intertwiner	FINDINGS.md, 'Method note' paragraph	load-bearing fabricated reported negative	main=17,all=112	CHANGELOG.md ; PROGRESS_LOG.md ; docs/ERROR_LEDGER.md ; docs/SEAL_LEDGER.md ; docs/progress/PROGRESS_2026-Q2.md ; DEL:docs/PROGRESS_LOG.md	cc's first pass used a guessed relator (w = b^-1aba^-1) and V2 came back False. The guess was wrong... Had the guessed relator been trusted, this arc would have reported "rho_2 does not descend" — a f
224	B790_maass_adjudication	FINDINGS.md verdict table, Step 1 row	m004 laplace bianchi digits	main=11,all=77	CHANGELOG.md ; PROGRESS_LOG.md ; docs/views/VERDICT_LEDGER.md ; f/B738_pathfinder_compiler/kill_graph.json ; f/B739_character_rigidity/b739_probe.py	LMFDB has zero Laplace data for any Bianchi group; d=3 exists only at ~3 digits; m004 never computed
225	B790_maass_adjudication	FINDINGS.md section 1	non-existence not-computed m004 recorded	main=1,all=7	papers/VALIDATION_LEDGER.md	For m004 itself: nothing. Recorded as NOT-COMPUTED, explicitly not non-existence — the discrete spectrum is provably infinite by the Weyl law.
226	B790_maass_adjudication	FINDINGS.md, Headline paragraph	mathematical discovery	main=45,all=310	CHANGELOG.md ; GOVERNANCE.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/LAW_MAP.md ; DEL:docs/REVIEWS.md	No mathematical discovery is claimed in this arc.
227	B790_maass_adjudication	FINDINGS.md ADDENDUM, 'Net effect on the	wall-clock checkpointing superseded separate	main=1,all=7	f/B791_weyl_completeness/FINDINGS.md	Step 3: superseded — see the separate note on the external Gates 0-9R bank. "Blocked on data nobody has computed" is wrong; the blocker is wall-clock and checkpointing.
228	B791_weyl_completeness	FINDINGS.md §6	parent-control re-implement re-run reproduction	main=1,all=7	CHANGELOG.md	cc did **not** re-run or re-implement the Hejhal linear algebra (Gates 6–8R), the parent-control reproduction (r = 24.5033416406…), or Gate 8 vs 8R remediation equivalence.
229	B791_weyl_completeness	FINDINGS.md §6	m004-relative interrupted eigenvalue artifact	main=0,all=2	f/B796_coupling_campaign/harvest/repo_protocol_rulebook.md ; CHANGELOG.md	No m004-relative eigenvalue exists in the bank: Gate 9 is blocked by its own guard (15/16 checks pass) and Gate 9R is `INTERRUPTED WITHOUT RESULT ARTIFACT`.
230	B791_weyl_completeness	PROVENANCE_ALERT.md RESOLUTION section	corroboration confirmation targeted primary	main=12,all=80	CHANGELOG.md ; PROGRESS_LOG.md ; docs/OPEN_LEADS.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/progress/REVIEWS.md	The primary is still unread, and the search window was supplied by cc, so this is targeted corroboration rather than blind confirmation.
231	B791_weyl_completeness	PROVENANCE_ALERT.md §1	subscription-restricted full-text accessible material	main=1,all=8	CHANGELOG.md ; CC_TO_CC3_2026-07-28_URGENT_provenance_failure_51014.md	Project Euclid serves a JS shell to curl (HTTP 200, text/html, 1.1 kB). A direct full-text fetch returns: "the actual full text and tables are not accessible… subscription-restricted material."
232	B792_maass_m004_eigenvalues	FINDINGS.md §'THE FULL WINDOW r<10'	exceptional eigenvalues anywhere	main=33,all=216	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; docs/LAW_MAP.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md	No exceptional eigenvalues λ < 1 anywhere in (0.8, 10).
233	B792_maass_m004_eigenvalues	FINDINGS.md §'THE r = 7.0720 EIGENVALUE'	experiment reading action actual	main=36,all=239	CHANGELOG.md ; GOVERNANCE.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; DEL:docs/REVIEWS.md	Open action: reading the actual Experiment. Math. 5(1) 57–80 Table 3 (the other ~35 values).
234	B792_maass_m004_eigenvalues	B792.txt	b792 phantom merges citing	main=9,all=60	CHANGELOG.md ; PROGRESS_LOG.md ; docs/OPEN_LEADS.md ; docs/PRACTICES.md ; docs/progress/REVIEWS.md	B792 is NOT in main -- it is cc3's arc and cc3 never merges, so citing it as if it were here is the phantom's own class
235	B792_maass_m004_eigenvalues	B792.txt	b792 eigenvalues companion repeated	main=4,all=31	CHANGELOG.md ; PROGRESS_LOG.md ; docs/progress/REVIEWS.md ; docs/views/VERDICT_LEDGER.md ; docs/LAW_MAP.md	the review seat repeated a companion number ("43 eigenvalues to r = 13.5") that belongs to cc3's B792, which is not in main -- main has 17, to r = 9.84
236	B793_gate8r2a_parent_localisation	FINDINGS.md 'What Gate 8R's headline act	demonstrated eigenvalue location solver	main=11,all=73	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/ERROR_LEDGER.md ; docs/views/VERDICT_LEDGER.md	The solver has never demonstrated it can find an eigenvalue whose location it was not given.
237	B793_gate8r2a_parent_localisation	FINDINGS.md 'Separate observation on the	b788 unresolved delivered entries	main=8,all=54	CHANGELOG.md ; PROGRESS_LOG.md ; docs/OPEN_LEADS.md ; docs/progress/REVIEWS.md ; docs/views/VERDICT_LEDGER.md	The 10 unresolved hash entries are the bank's own lock tests (`../../tests/test_b788_maass_*.py`). They are absent from the delivered zip.
238	B793_gate8r2a_parent_localisation	FINDINGS.md 'Separate observation on the	re-run tests	main=188,all=1142	CHANGELOG.md ; PROGRESS_LOG.md ; WORKING_RULES.md ; docs/ERROR_LEDGER.md ; docs/HINT_LEDGER.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md	it means no seat can currently re-run the bank's own tests.
239	B795_eigenvalue_verification	B795.txt line 5 (PROGRESS_LOG.md 2026-07	mode-count re-derived m004 b795	main=10,all=69	CHANGELOG.md ; PROGRESS_LOG.md ; docs/LAW_MAP.md ; docs/OPEN_LEADS.md ; docs/progress/REVIEWS.md	Seventeen eigenvalues of m004 now exist where the literature had none, mode-count certified to 5.4e-9 and independently re-derived by cc in B795
240	B795_eigenvalue_verification	FINDINGS.md lines 68-69	mode-count certification unaddressed comparison	main=3,all=22	PROGRESS_LOG.md ; f/B795_eigenvalue_verification/FINDINGS.md ; f/B921_branch_harvest/harvested/f/B796_coupling_campaign/context_sweep/sweep_banked_arcs_B793_B797.md ; f/B796_coupling_campaign/context_sweep/sweep_banked_arcs_B793_B	Also unaddressed here: the mode-count certification cc3 still owes (max |Δr| between mode counts), which sets the floor on every tolerance its SM comparison can honestly use.
241	B795_eigenvalue_verification	B795.txt line 21 (REVIEWS.md Review 36)	third-of-a-spectrum eigenvalues certifies carried	main=1,all=7	docs/progress/REVIEWS.md	eigenvalues_final.json carried 6 of the 17 its own table certifies — a silent third-of-a-spectrum for any machine reader.
242	B796_coupling_campaign	THE_LOSS_LEDGER.md:14-16 (L1)	b909 b915 condition frontier	main=18,all=111	CHANGELOG.md ; PROGRESS_LOG.md ; docs/LAW_MAP.md ; docs/OPEN_LEADS.md ; docs/STRUCTURE_TO_NATURE_MASTERPLAN.md	frontier/B909* DOES NOT EXIST (no dir, no FINDINGS, no test), while B915 (the crossing, the sealed 16sigma MISS in the README) CONSUMES the 3/8 as its boundary condition
243	B796_coupling_campaign	cell9_sec16_verdict3.md:26 (charge 6)	second-pass verdict2 cell9 sec16	main=3,all=21	f/B921_branch_harvest/HARVEST_MANIFEST.md ; f/B921_branch_harvest/harvested/f/B796_coupling_campaign/CELL9_RUNG1_PREREGISTRATION_v3.md ; f/B921_branch_harvest/harvested/f/B796_coupling_campaign/cell9_sec16_verdict3.md	the sealed v3 cites "Second-pass verdict: cell9_sec16_verdict2.md" -- that file exists nowhere in the repo
244	B796_coupling_campaign	cell9_sec16_verdict3.md:23	end-to-end cell9 evidenced shakedown	main=4,all=28	CHANGELOG.md ; PROGRESS_LOG.md ; docs/views/VERDICT_LEDGER.md ; f/B921_branch_harvest/harvested/f/B796_coupling_campaign/cell9_sec16_verdict3.md	The mandated smoke test is not evidenced: cell9_shakedown_log.txt stops after "n = 782 modes" -- no completed end-to-end run exists on disk (C7)
245	B796_coupling_campaign	THE_LOSS_LEDGER.md:58-60 (L5)	da516046 ba81779 e9042 a335	main=9,all=68	docs/SEAL_LEDGER.md ; docs/views/VERDICT_LEDGER.md ; f/B878_maass_upper_window/RELAY_AS_RECEIVED.md ; f/B921_branch_harvest/FINDINGS.md ; f/B921_branch_harvest/HARVEST_MANIFEST.md	main's SEAL_LEDGER records NONE of the four hashes (8424a335, da516046, 3ba81779, 169e9042), and B796 was never reserved
246	B796_coupling_campaign	THE_LOSS_LEDGER.md:63-65 (L6)	b796 b798 unharvested advertises	main=3,all=23	f/B921_branch_harvest/harvested/f/B796_coupling_campaign/loss_audit/THE_LOSS_LEDGER.md ; f/B921_branch_harvest/harvested/f/B796_coupling_campaign/loss_audit/loss_audit_branch_delta.md ; CHANGELOG.md ; CC3_TO_CC_2026-08-05_LOSS_AUD	The B796 campaign corpus -- 44 artifacts, 100% unharvested. Main advertises the campaign (CAMPAIGN_STATUS:1432) and prices its falsifier (B798) while holding none of its logic
247	B796_coupling_campaign	THE_LOSS_LEDGER.md:83-85 (L7, re: the He	paraphrase footprint beyond relay	main=3,all=22	PROGRESS_LOG.md ; docs/views/VERDICT_LEDGER.md ; f/B921_branch_harvest/harvested/f/B796_coupling_campaign/loss_audit/THE_LOSS_LEDGER.md ; f/B796_coupling_campaign/loss_audit/THE_LOSS_LEDGER.md	Zero footprint on main beyond relay paraphrase
