packet	path	outcome	certifies	depends_on	runtime_s	reason	evidence
D018	outside_bench/certificates/fence_independence.py	PASS	Exact arithmetic over the quadratic ring Q(omega) (omega^2=omega-1) checking a claimed group-representation intertwiner rho(phi(x)) = g^-1 gal(rho(x)) g on 4 generators, then exactly (Fraction-based matrix arithmetic) for all 13120 reduced words of length up to 8 that gal(tr rho(w)) = tr rho(phi(w)); a relator search up to length 10 (found at length 10, verified exactly); and a 50-decimal-digit mpmath numerical check that complex geodesic lengths for 4 sample words have equal real part and negated imaginary part across the model pair (tolerance 1e-40), plus an exact check that kappa=1+omega and its Galois conjugate both satisfy X^2-3X+3=0.	Self-contained: hardcoded generator matrices Ma, Mb over Q(omega), hardcoded map PHI and intertwiner matrix gmat (cited from 'memo 108'); mpmath for the 50-dps numerical geodesic-length check; no external data files.			I1a: ... rho(phi(x)) = g^-1 gal(rho(x)) g for x in {a,b,A,B}. I1b: gal(tr rho(w)) = tr rho(phi(w)) verified for ALL 13120 reduced words to length 8 ... I2: relator FOUND at length 10: abaBAbabAB — and rho(phi(relator)) = +-I exactly ... I3a: ... complex length has Re EQUAL and Im NEGATED across the pair (50 dps) ... I3b: kappa = tr[a,b] = 1+omega and its gal-image BOTH satisfy X^2-3X+3 = 0 exactly ... EXIT:0
D019	outside_bench/certificates/first_beat_law.py	PASS	That for the SL2 record with beat (x,y,z)=(tr a, tr b, tr ab)=(2,2,2-omega), every reduced word's trace up to length 7/8 is exactly (integer-polynomial, exact pair/symbolic arithmetic, no tolerance) reproduced by the 4-dimensional {I,A,B,AB} algebra over Z[x,y,z], that the Fricke commutator polynomial evaluated at the beat gives exactly kappa=1+omega, and that among 13120 length<=8 words only 180 distinct trace values occur.	Self-contained: only sympy and fractions; hardcoded beat values (2,2,2-omega) and multiplication table derived in-file from Cayley-Hamilton/SL2 identities; no external data files.			P1: the four-dimensional multiplication table reproduces the true holonomy traces exactly on spot-checks — {I, A, B, AB} closes. P2: ALL 4372 reduced words to length 7 — trace polynomial has INTEGER coefficients in (x, y, z) and evaluates at the beat to the true trace.     Mismatches: 0.  Non-integer coefficient sets: 0. P3: the Fricke commutator polynomial x^2+y^2+z^2-xyz-2 evaluated at the beat (2, 2, 2-omega) gives EXACTLY 1 + omega = kappa P4: to length 8 the record has 13120 classes but only 180 distinct trace values
D019	outside_bench/certificates/fixed_twin.py	PASS	That the fiber-triple (tr U, tr V, tr UV) of an explicit SL2(Q(sqrt(-3)-like quadratic)) representation lies exactly on the cusped Fricke surface x^2+y^2+z^2-xyz=0, is a fixed point of the induced trace-map dynamics, and that its Galois conjugate is a distinct fixed point on the same surface reached by an explicit conjugation map — all via exact Fraction/quadratic-pair arithmetic, no tolerance.	Self-contained: hardcoded generator matrices A,B and words 'bA','abAA' defining U,V; fractions module only; no external data.			tr[U,V] = (Fraction(-2, 1), Fraction(0, 1))   (expect -2...) Fricke level x^2+y^2+z^2-xyz = (Fraction(0, 1), Fraction(0, 1))   (expect 0 ...) trace-map image of the triple: ... FIXED: True beat image of the triple: ... == Galois twin: True EXIT=0
D019	outside_bench/certificates/founding_torsor.py	PASS	That the four natural word-substitution founding rules {a->ab/a->b} form a free transitive K4-torsor under letter-swap C and word-reversal P (exact group-law checks), that all four abelianize to the same golden characteristic polynomial x^2-x-1, that word-reversal is trace-invisible for all 1364 words of length<=5 under an explicit Riley (figure-eight) SL2(Z[omega]) representation (exact Fraction/pair arithmetic), and that the substitution monoid's image (enumerated to depth 6) never contains letter b, proving non-surjectivity.	Self-contained: sympy, fractions; hardcoded Riley representation matrices for the figure-eight knot (a=[[1,1],[0,1]], b=[[1,0],[-omega,1]]) and hardcoded control trace value 2-omega attributed to memo 81.			FACT 1: ... orbit of the founding rule = 4 DISTINCT rules ... FREE + TRANSITIVE, trivial stabilizer FACT 3: tr(w) = tr(rev(w)) for ALL 1364 words of length <= 5 (exact, Z[omega]) FACT 5: the image submonoid of sigma (87 words to length 8) contains NO word starting with b ... NON-SURJECTIVE EXIT=0
D019	outside_bench/certificates/gamma5_reverser.py	PASS	That the exact Jacobian of the trace-map reverser R=(x,y,z)->(y,x,yx-z) at (2,2,2) maps the golden eigenvector v_u (eigenvalue phi^4) to a scalar multiple of its Q(sqrt5) Galois-conjugate eigenvector v_s (eigenvalue phi^-4) and vice versa (exact sympy symbolic/radical arithmetic), and that none of three candidate involutions (C=s, e', R) sends v_u to -v_u, i.e. none induces the claimed branch swap.	Self-contained: sympy only; hardcoded golden eigenvectors v_u, v_s and Jacobian base point (x,y,z)=(2,2,2); the T,T^2,e' maps are hardcoded formulas attributed to prior memos (97, 94).			FACT 1: DR(v_u) = (9 - 4*sqrt(5))*v_s and DR(v_s) = (4*sqrt(5) + 9)*v_u — the reverser R acts on the golden eigenframe EXACTLY as the Q(sqrt5) Galois conjugation C = s       : Dg(v_u) = off-line e'          : Dg(v_u) = off-line R = s o e'  : Dg(v_u) = -> STABLE line FACT 2: NO banked involution induces v_u -> -v_u EXIT=0
D019	outside_bench/certificates/gap_docs_currency.py	PASS	A mechanical keyword-retrieval scan (no exact/numerical mathematical claim) that searches the repo's arc-verdict database (via _oa_source.arc_verdicts() at pinned commit 89affd5bbd4b900397af2bf3b987ff8f05f5cb80) for PROVED/NEGATIVE arcs matching regexes for 13 previously-flagged open items, printing candidate closures split by whether they predate or postdate a reference document band (B1194); it contains no assert statements and its own output disclaims being an adjudicated result pending human reading.	outside_bench/certificates/_oa_source.py module and its arc_verdicts() retrieval from the git-pinned repo state (commit 89affd5bbd4b900397af2bf3b987ff8f05f5cb80, env var OA_REF); hardcoded item list ITEMS with regex patterns and DOC_BAND=1194 constant.			arcs at pin: 1119 ... N1..A6 rows printed with match counts and sample arc quotes ... This output is a DETECTOR'S OUTPUT, not a result. Every row above is adjudicated by reading in memos/GAP_DOCS_CURRENCY.md; rows the reading does not confirm are dropped. EXIT=0
D020	outside_bench/certificates/gate_d_numerics.py	PASS	Numerical check that the quantity kappa=1+omega (omega=e^{i pi/3}) equals sqrt(3)e^{i pi/6} exactly, that a trace map's invariant I is preserved under a coordinate change on random complex points (tolerance 1e-9/1e-13), that a periodic-approximant spectrum for the trace map reproduces Fibonacci-numbered band counts with shrinking measure at a positive-control real lambda (Damanik-Gorodetski regime), and then examines the same construction at the object's own (complex) lambda forced by kappa, comparing box-counting fractal dimension against same-modulus controls at other phase angles theta. All checks are numerical with hardcoded tolerances (1e-13, 1e-9) and printed PASS/OUTCOME verdicts.	none (self-contained numpy computation; no external data files or repo imports)	5		D-0 PASSES; proceeding. ... OUTCOME: D1-REPRODUCES ... OUTCOME: D2-STRUCTURED ... OUTCOME: D3-GENERIC SUMMARY: D-0 PASS | D1-REPRODUCES | D2-STRUCTURED | D3-GENERIC FENCE: a numerical picture is not a theorem. This says whether the object's cocycle has the SHAPE a Damanik-Gorodetski result describes, which nobody had looked at.
D020	outside_bench/certificates/gaudin_close.py	PASS	Numerical (KS-test) comparison of unfolded Riemann zeta and L(chi_-3) zero spacings against the EXACT Gaudin/Mehta GUE nearest-neighbor spacing law (computed via Nystrom/Gauss-Legendre discretization of the sine-kernel Fredholm determinant, cross-checked for convergence between m=40 and m=80 quadrature points), replacing an earlier Wigner-surmise approximation; reproduces banked Wigner-surmise KS statistics as anchors (tolerance 1e-3), verifies Nystrom convergence (<1e-10) and normalization (E(0)=1, E'(0)=-1 to 1e-6, mean spacing to 2e-3), then reports per-factor and merged KS statistics against the exact law and a control that single factors fit their own exact-single CDF at least as well as an exact two-fold superposition CDF.	committed zero data files outside_bench/certificates/c4data/c4_zeros_zeta.txt and c4_zeros_L.txt (2469 zeta zeros, 2991 L(chi_-3) zeros to T=3000); hardcoded banked anchor constants (D_zeta=0.0401, D_L=0.0487, D_merged_single=0.13365, D_merged_Wigner_super=0.02400) from a prior Wigner-surmise certificate; cited closed-form results (Bornemann's Nystrom method for RMT Fredholm determinants; Mehta's spacing-density identity)	8		M1: Nystrom convergence m=40 vs m=80 at s in {0.5,1.5,3.0}: ['1.11e-16', '1.04e-15', '2.27e-17'] M2: E(0)=1.0000000000 (exact 1)   E'(0)=-0.99999985 (expect -1) G1 branch: NEGATIVE (real per-factor deviation survives exact law) C1 control: single factors fit exact-single at least as well as exact-superposition -- PASS Gate 5: no measured physical constants used (pure zero-data + closed-form kernel).
D020	outside_bench/certificates/geodesic_tongue.py	PASS	Exact algebraic computation (Fraction/Z[w] pair-field arithmetic, no floating point in the core claims) of the complex-length spectrum of the banked m004 Riley holonomy: enumerates all conjugacy classes of words up to length 7, verifies every trace lies in the Eisenstein integers Z[w] (FACT 1), verifies every inner-ball (length<=4) class has a complex-conjugate-trace mirror partner findable by exhaustive search to length 9 (FACT 2, with an exact-arithmetic exhibit of equal lengths and negated torsions to 1e-9), counts loxodromic classes with nonzero vs zero torsion (FACT 3), and lists the shortest distinct complex lengths with exact traces (FACT 4, numeric length/torsion display only).	hardcoded banked Riley holonomy generator matrices a=[[1,1],[0,1]], b=[[1,0],[-w,1]] with w^2=w-1 (cited to memos 30/49 as the object's trace field Q(sqrt-3))	3		FACT 1: every class trace lies in Z[w] ... EVERY inner-ball class has a mirror partner ... exhibit lengths: 3.450219 vs 3.450219 (equal), torsions +1.843678 vs -1.843678 (negated) FACT 3: loxodromic classes with torsion (nonreal trace): 247; mirror-fixed (real-trace) loxodromics: 10 SYSTOLE (in this ball): word class [AB], exact trace 2+(-1)w, complex length 1.087070 + 1.722768 i
D020	outside_bench/certificates/golden_excess_ensemble.py	PASS	Numerical ensemble measurement (tight-binding/Sturmian-word reflection-asymmetry statistic via eigh_tridiagonal on chains up to a few thousand sites) testing whether the golden-slope's reversal asymmetry is an outlier among 15 Sturmian/quadratic slopes at each slope's own convergent-denominator windows, removing a commensurability confound from an earlier memo; the script itself computes and reports look-elsewhere (Sidak) and window-size-confound (linear regression residual) corrections and concludes, in its own printed verdict, that the corrected outcome is G-NOISE (no real excess) versus the naive/under-specified criterion's G-EXCESS. Purely descriptive statistics, no pass/fail assertions in code — it is an exploratory two-outcome measurement whose own preregistered analysis lands on the negative branch.	none beyond its own generated Sturmian sequences and hardcoded slope list (golden, silver, bronze, and other quadratic/transcendental irrationals); cites memo 143's parity theorem and memo 144's original 4-control lead as background, not as external data	10		==> OUTCOME G-EXCESS. ... (P(other >= it) = 0.067). memo 144's lead is upgraded. E4c — *** THE CORRECTED VERDICT: G-NOISE. *** under BOTH corrections the excess evaporates: Sidak-corrected P = 0.241, the N-trend explains the ordering, and a non-metallic slope beats golden outright. THE LEAD CLOSES NEGATIVELY.
D020	outside_bench/certificates/grammar_disc48.py	PASS	Exact (Fraction-based Q(omega) pair-field, omega^2=omega-1) algebraic derivation that the disc-48 Gauss class pair used elsewhere in the project is reachable from the {a,b} substitution grammar rather than imported cusp geometry: verifies the vendored Riley holonomy reproduces the banked systole trace 2-omega, exhaustively searches commutator-subgroup grammar words of length 4-8 for a parabolic, a-commuting longitude, asserts its cusp modulus tau equals exactly +-(4 omega-2)=+-2 sqrt(-3), derives the lattice norm form's discriminant -48 exactly, and enumerates reduced primitive forms of that discriminant, asserting the result is exactly {(1,0,12),(3,0,4)} i.e. class number h(-48)=2.	hardcoded banked Riley holonomy generator matrices Ma, Mb over Q(omega) (memo 98's vendored realization); banked systole-trace value 2-omega used as a control check	2		control: the vendored Riley holonomy reproduces the banked systole trace 2-omega. LONGITUDE FOUND BY GRAMMAR SEARCH: word baBAABab (length 8), holonomy -[[1, tau],[0, 1]] with tau = (Fraction(2, 1), Fraction(-4, 1)) THE CLASS PAIR: reduced primitive forms of disc -48 = [(1, 0, 12), (3, 0, 4)] — h(-48) = 2.
D021	outside_bench/certificates/grav_ablation.py	PASS	In the E6-derived rank-3 abelian complement (27-dim rep), re-derives memo-70's SM hypercharge forcing (V0: exactly 36 SM-pattern solutions, 0 non-SM, 0 higher-dim spaces) and then re-runs the same anomaly-cancellation system with the gravitational anomaly condition (grav^2 Y) ablated (V1) plus three control ablations (V2 no-cubic, V3 gauge-only, V4 no-SU(2)). Exact symbolic/rational arithmetic (sympy Rational/solve) over root/weight data of E6; verdict decided by comparing resulting solution counts to the anchor.	Imports and execs a prefix of outside_bench/certificates/twisted_double.py in the same directory (E6 root system, 27-weight construction, inner product routines); no external data files or measured constants (Gate 5 untouched, pure algebra).	5		ANCHOR: V0 reproduces memo 70 (36 SM, 0 non-SM, 0 higher-dim): PASS  BRANCH LB: GRAVITY IS LOAD-BEARING.  Without the grav^2 Y condition the forcing degrades (18 SM, 0 non-SM, 27 higher-dimensional solution spaces vs 36/0/0 with it). ... Gate 5 untouched.
D021	outside_bench/certificates/h_theorem.py	PASS	Tests whether the topological-entropy/local-expansion sequence e_n along forward orbits of T^2 (the SL(2) Fricke-coordinate trace map, T(x,y,z)=(z,x,zx-y)) on the unstable manifold of the trivial fixed point (2,2,2) is monotone (an H-theorem candidate). Combines exact symbolic checks (sympy: Jacobian eigenvalues exactly phi^2/phi^4, kappa-invariance proved symbolically) with high-precision numerical orbit integration (mpmath, dps=3000, 12 steps, 6 seeds) and a kappa-conservation integrity assertion at every step.	Self-contained: only sympy/mpmath and constants defined in-script (the Fricke map, kappa invariant, seed epsilons); no external data files.	15		OUTCOME (refined, the machine's own shape): S002's H-theorem AS STATED — monotone along ALL forward orbits — is REFUTED (the preregistered NOT-MONOTONE outcome).  But the violation is not noise; it is a clean TWO-BRANCH LAW ... Gate 5 untouched. (exit 0, all preregistered asserts including per-step kappa-conservation passed)
D021	outside_bench/certificates/habiro_at_zeta.py	PASS	Computes the exact Taylor germ (to order NMAX=8, cross-checked at NMAX_ROBUST=11) of the Habiro cyclotomic unified WRT invariant F(q) of the figure-eight knot at q=zeta_3 in Q(zeta_3)[eps], then compares it via exact resultant/valuation arithmetic against F evaluated at primitive 3*p^r-th roots of unity (p in {5,7}, r in {1,2}) to test whether base-1 germ coherence (from memo 40/c2b_ohtsuki_bridge.py) transports to base zeta_3. Exact symbolic/algebraic computation throughout (sympy, cyclotomic polynomials, resultants); no floating point.	Self-contained exact algebra in Q and cyclotomic extensions of Q; cites the Habiro cyclotomic form of the 4_1 invariant (Habiro's textbook example) and results from c2_habiro.py/c2b_ohtsuki_bridge.py as the baseline being compared against, but does not import those files.	20		branch test: at the 3 non-failing levels, v(N) >= N and strictly increasing for all N: True branch test: at modn=15 (p=5,r=1), v(1)=2 then v(N)=0 for all N=2..8: True ... collapse persists beyond the NMAX=8 boundary (not a truncation artifact): True  B3 CLOSED: ... RESULT: neither preregistered clean branch held uniformly -- the honest, exact, machine-verified finding is a SPLIT ...
D021	outside_bench/certificates/hd_exhaustion.py	PASS	Re-verifies memo-80's cubic coupling census on one 27 is closed (45 nonzero entries across 11 multiplet triples), enumerates the 3 couplings touching the Hd multiplet, identifies the unique canonical linear condition and the two matrix-valued (determinantal) rows, and checks whether the second determinantal cut (l.ec.Hd) is independent from B1205's det Y_d by comparing exact rational coefficient magnitudes and entry-count ratios. Exact rational (Fraction) arithmetic on hardcoded multiplet/coupling tables.	Execs a prefix of outside_bench/certificates/yukawa_texture.py in the same directory (defines MULT roster, Cval coupling function, Hu/Hd/nuS lists) up to the marker '# full triple census'; cites memo 80's sector triple table and B1205/B1206/B1196/B1161/B1134 results as context; no external data files, no measured constants.	5		E1 — ... memo 80's census re-verified CLOSED: 45 of 45 nonzero C entries accounted for by 11 multiplet triples. ... => EXACTLY 3 couplings touch Hd. ... => EXACTLY 1 canonical linear condition: Hu.Hd.N1 ... identical magnitudes: True      ratio = colour dim : 1 : True ==> ONE SHARED OPERATOR. ... B1206's ledger still STANDS at dim 1.
D021	outside_bench/certificates/hitind.py	PASS	For all 24 (0,8)-type hits among the involutive swap elements (memo 10/B1134), computes tr(theta_matrix) acting on the 78-dimensional representation via exact rational (Fraction) linear algebra, and asserts every hit gives trace exactly -2 (the inner sl2+sl6 involution class), i.e. that the mirror's inner-class assignment is independent of which hit realizes it.	Execs a prefix of outside_bench/certificates/simul_verify.py in the same directory (up to '# principal triple of S0': defines G_swap, solve_lift, color_sig, theta_matrix, apply, DIM); no external data files, exact arithmetic only.	2		involutive swappers: 48 hits examined: 24;  tr(theta) multiset: {Fraction(-2, 1): 24} ALL hits give tr(theta) = -2: the mirror's INNER (sl2+sl6) class is hit-independent
D022	outside_bench/certificates/inflation_probe.py	PASS	Symbolic (sympy, exact over Z[x,y,z] and Q(sqrt-3)) check that three named dynamical maps in the record's tower (T=Fricke/golden map, L=Thue-Morse/layering map, sigma=golden substitution matrix and its square) have Jacobian determinants that are identically -1, 0, and ±1 respectively (never >1 in magnitude anywhere), so no net phase-space volume growth exists in the tower; verified as a determinant identity (not a point evaluation) plus a 4-step numeric check along one named orbit.	Hardcoded map definitions (T, L, sigma) attributed to internal memos (memo 121/B496, memo 117, B721, memo 90); a hardcoded starting point P0=(2,2,2-omega); no external data files.	2		N2 — THE DETERMINANTS ... det J_T = -1 ... det J_L = 0 ... sigma^2 ... det = 1 ... N5 — THE VERDICT ... No tower map has |det J| > 1 anywhere. ==> OUTCOME I-B. ROW 2's FIRST PROBE RETURNS A STRUCTURAL OBSTRUCTION, NOT A STALL ... EXIT:0
D022	outside_bench/certificates/jordan_beat.py	PASS	Exact rational-arithmetic (Fraction) construction of the E6-invariant cubic form on the 27-dim crystal representation from derivation conditions for all 72 root generators, asserting the invariant-cubic solution space has dimension exactly 1 and the invariant-bilinear space has dimension exactly 0; then verifies exactly over Q(q) that the beat map Omega preserves the cubic under Galois transport (C(Omega u,Omega v,Omega w) = gal(C(u,v,w)) for all 3654 basis triples) and under the meridian A27=Omega^2.	Execs the first part of sibling file outside_bench/certificates/twisted_double.py (e6 root system, rho27_Q representation construction, Chevalley bracket verification) via source-slicing/exec; no external data files.	3		invariant-cubic solution space: dim = 1 (GREEN requires exactly 1) ... invariant-bilinear space on the 27 alone: dim = 0 (GREEN requires exactly 0) ... C(Omega u, Omega v, Omega w) = gal(C(u,v,w)) for ALL 3654 basis triples: True ... cross-check: C invariant under A27 = Omega^2 (the lifted meridian): True ... EXIT:0
D022	outside_bench/certificates/kappa_beat.py	PASS	Exact rational (Fraction) 2x2 matrix computation over Q(q) with q^2=q-1, verifying that the trace kappa=tr[A,B] of two named hyperbolic generators equals its Fricke-identity form, that a beat involution sends kappa to its Galois conjugate gal(kappa) (kappa != gal(kappa)), and that the trace/norm/minimal polynomial of kappa are exactly 3, 3, X^2-3X+3 with discriminant -3, matching a preregistered hand-derivation.	Hardcoded matrices A, B, W (attributed to K001/K007/the chi=+1 lift) and a preregistered hand-derived prediction (kappa=1+q, trace 3, norm 3); no external files.	1		=> kappa = 1 + q EXACTLY (preregistration confirmed) ... => THE BEAT REFLECTS THE FIRST INTEGRAL: kappa -> gal(kappa), not fixed ... kappa + gal(kappa) = (Fraction(3, 1), Fraction(0, 1)) ... kappa * gal(kappa) = (Fraction(3, 1), Fraction(0, 1)) ... minimal polynomial of kappa over Q: X^2 - 3X + 3; discriminant = -3 = d_K ... EXIT:0
D022	outside_bench/certificates/kind_row_adjudication.py	PASS	Exact symbolic (sympy, algebraic numbers in Q(phi)/Q(sqrt5)) comparison of two hardcoded 'banked' magnitude sets (5-element 'tones' and 8-element 'mirror'), rebuilding the mirror set independently from a 2T character-theory tensor product and checking it matches exactly, then checking set containment (all 5 tone magnitudes are contained in the mirror set, with the 3 remaining mirror magnitudes equal to the tone magnitudes halved) — this is bookkeeping/typing logic over hardcoded exact values, not a physical measurement comparison.	Hardcoded magnitude sets TONES and MIRROR (cited as banked results B1011 C5/C6) and a hardcoded 2T character table (CHI_2T); internal ledger citations (B1032, B1066, B1075, memo 135) used only as narrative framing, not as computational inputs.	1		invariant... equals B1011 C6's banked eight: True ... tone magnitudes ALSO in the mirror set : 5 of 5 ... mirror magnitudes NOT in the tone set : 3 of 8 ... and the 3 extras are exactly TONE MAGNITUDES HALVED: True ... K5 — THE ADJUDICATION: OUTCOME K-B. ... EXIT:0
D022	outside_bench/certificates/klein_parity.py	PASS	Exact-arithmetic check (execs shared e6/27-representation setup from twisted_double.py) that a vendored weight system (B883's rep27.json weights, hardcoded as a literal list) matches the lane's own computed crystal weights exactly as sets, that two independently vendored sign vectors (B916, B912, hardcoded lists) for a Klein-four-group's action agree after index-transport, that one generator D is a pure weight character found by exhaustive search, and computes 'beat parity' (even/broken under an involution) for all four Klein-group elements, verifying the parity is multiplicative (a group character).	Vendored hardcoded data cited as from external JSON files (B883 rep27.json 'weights', B916 results.json H_prime_diag_vs_H_plus.D2, B912 results.json D_diag) pasted as literal Python lists in the script itself — the actual JSON files are not read at runtime; execs part of sibling file twisted_double.py for the e6/27-rep construction.	3		CHECK 1: B883's full weight system == the lane's crystal weights ... CHECK 2: D2tw's two banked representations ... AGREE after transport ... CHECK 3: D IS a pure-family character: (b, polarity) = [((0, 1, 1, 1, 1, 0), 1)] ... parity is MULTIPLICATIVE on the Klein group ... VERDICT (F5 REFINED, structure banked) ... EXIT:0
D023	outside_bench/certificates/l132_trinification.py	PASS	Within e6's 27-dim rep in the trinification frame (3 orthogonal A2 slots), enumerates every SM-shaped 15-plet assignment and checks (via exact Fraction/sympy linear algebra over the rank-3 abelian complement) whether the SM anomaly-cancellation equations force the hypercharge ratio pattern (-4,2,-3,6); also runs a second frame as a covariance control. Exact/symbolic (Fractions and sympy Rational, no floats).	imports and execs a prefix of outside_bench/certificates/twisted_double.py (e6 root/weight construction) from the same directory; no external data files; compares results to the hardcoded SM hypercharge ratio tuples (-4,2,-3,6) and (2,-4,-3,6).	5		FACT 1: three orthogonal A2 slots found (6/6/6), crossing roots: 54 (expect 54)    27 block structure ...: {('3b', '3b', '1'): 9, ('3', '1', '3b'): 9, ('1', '3', '3'): 9} ...    frame A: {'solutions': 36, 'SM-pattern': 36}...    frame B: {'solutions': 36, 'SM-pattern': 36}... FACT 3: covariance: frame A counts == frame B counts: True VERDICT COUNTS: anomaly-consistent nonzero Y assignments = 36 (SM ratio pattern: 36, non-SM: 0, multidim: 0) BRANCH A, STRONG FORM: ... HYPERCHARGE FALLS OUT ... L132's question, in the trinification frame: YES.
D023	outside_bench/certificates/l173_gap_detector.py	PASS	Builds an old boundary-weight edge-state detector and a new three-clause (localization/boundary/gap) detector for a Fibonacci tight-binding chain (N=987, scipy eigh_tridiagonal), numerically scanning rho near alpha=2-phi to test whether the new detector is stable across the rho=alpha discontinuity where the old one flips; also directly compares the two hands' selected-energy sets. Numerical (double precision eigen-decomposition, no explicit tolerance beyond exact word-equality checks).	none beyond numpy/scipy; self-contained construction of the Fibonacci/Sturmian chain and both detectors.	3		distinct readings: [(7, 7), (7, 10)]     VOLATILE: True G3 ... ==> OUTCOME D-VOLATILE.  The new detector also flips... right-hand WORD differs across alpha at 0 sites: [] left-hand  WORD differs across alpha at 2 sites: [0, 1] IDENTICAL energy sets: True ... THE SPLIT IS 7-7, EVEN.
D023	outside_bench/certificates/l173_seal_path.py	PASS	Checks (M1) that mirror-isospectrality of a reversed hopping-chain Hamiltonian is an automatic linear-algebra identity (J-conjugation) for ANY word, verified numerically (tolerance 1e-12) on a random word; checks (M2) that every Fibonacci-word prefix of Fibonacci length becomes an exact palindrome after deleting its last two letters, checked exactly (string equality) for 10 Fibonacci lengths up to 4181.	none beyond numpy; self-contained word/Hamiltonian construction; cites Droubay 1995 as the classical-theorem attribution (not used computationally).	2		J H J == H(reversed word) : True max spectral difference    : 5.773e-15 ... holds at every Fibonacci length tested: True ==> OUTCOME D-B on part (1) PROVED and on part (2) AT RISK; D-A on part (3), which survives both arguments.
D023	outside_bench/certificates/lambda_rank.py	PASS	Re-derives (by exec'ing a prefix of yukawa_texture.py, memo 80's construction) the Jordan-cubic-coupling roster on e6's 27, then computes exact-rational ranks (Gaussian elimination over Fraction, no floats) of the lambda-term matrix C(N,Hu_i,Hd_j) and the exotic-mass matrix C(N,D_i,Dc_j), and verifies t3- and colour-conservation gates over all 45 nonzero coupling triples.	imports/execs a prefix of outside_bench/certificates/yukawa_texture.py (memo 80's e6 cubic construction) in the same directory; compares the computed rank (asserted ==2) against B1206's preregistered fork, a cited external record.	5		C rebuilt in-run: dim 1, 45 triples (memo 47 reproduced) ...N1 (state 1): ... nonzero entries: 2     RANK over Q: 2 ...t3-CONSERVATION GATE: all 45 nonzero C triples have t3 summing to 0: PASS COLOUR-CONSERVATION GATE: ... PASS THE RANK B1206 ASKS FOR: rank of C(N1, Hu_., Hd_.) = 2 ... B1206's ledger STANDS at dim 1
D023	outside_bench/certificates/law_declaration_audit.py	PASS	Loads ~1114 repo arc-verdict records via _oa_source.arc_verdicts(), and checks (a) a two-sided control that a law-shaped-vocabulary word-score discriminates declared-creates_law arcs (mean 2.20) from undeclared ones (mean 1.00), then (b) counts undeclared PROVED/NEGATIVE arcs scoring at/above the declared-law mean (102 candidates) as evidence the creates_law under-declaration is systemic rather than isolated. Comparison against hardcoded thresholds/word lists and cited arc IDs (B991, B1196), not a mathematical proof.	imports outside_bench/certificates/_oa_source.py which reads the repo's arc verdict files (metadata, ~1114 files) from disk; hardcoded LAW_WORDS vocabulary list and threshold logic (max(3, round(mean))); cites specific arc records B991 and B1196 by ID.	4		A1 — CORPUS LOADED: 1114 arcs with a parseable verdict file. mean law-word score, DECLARED law arcs   : 2.20 mean law-word score, UNDECLARED arcs     : 1.00 ... the criterion discriminates ... Proceed. ==> CREDIBLE CANDIDATE SET: 102 (10.5% of undeclared settled arcs) A6 — THE VERDICT ... candidates found: 102   ==> OUTCOME U-B   THE UNDER-DECLARATION IS NOT ISOLATED.
D024	outside_bench/certificates/layer_flow.py	PASS	Exact (sympy/rational, symbolic) check that the ab/ba 'layering' map L:(A,B)->(AB,BA) reduces to a closed-form 2-variable recursion z'=z^2-kappa, kappa'=z^2(2-kappa)+kappa^2-2 on the character invariants; it verifies this closed form against an independently-computed matrix tower for 9 levels (exact integer/pair arithmetic), symbolically checks kappa-preservation (found NOT preserved except on a curve), and solves for fixed points exactly via sympy.	Self-contained: hardcoded SL(2)-type generator matrices Ma, Mb over an exact pair-arithmetic ring, and sympy for symbolic algebra. Interprets results relative to memo 94/117's claims (cited context, not loaded as code).	2		D1 all 9 levels print MATCH; assert ok passes. D2: 'kappa' - kappa = -(k - 2)*(-k + z**2 - 1)' ... 'THE LAYER FLOW IS **NOT** KAPPA-PRESERVING.' D3: three fixed points printed (z=1,kappa=0), (z=-1,kappa=2), (z=2,kappa=2). Exit code 0, no exceptions.
D024	outside_bench/certificates/layer_tower.py	PASS	Exact integer/Z[omega] arithmetic iterating the layering map L:(A,B)->(AB,BA) for 9 levels starting from hardcoded SL(2,Z[omega]) generators, asserting the pair stays non-commuting at every level (T1), that tr(AB_n)=tr(BA_n) for n>=1 (T2), and that all invariants stay integral in Z[omega] (T3, allZ check), reporting the growth of kappa_n's digit length (T4).	Self-contained: hardcoded generator matrices Ma, Mb and pure-Python exact pair arithmetic; no external files. Cites memo 86/112/113/114 for interpretive framing only.	2		'T1: the pair is NON-COMMUTING at every level computed (0..8) ... the tower does NOT collapse' 'T2: x_n = y_n for EVERY level >= 1 (verified)' 'T3 ... every x_n, y_n, z_n, kappa_n lies in Z[omega] — verified exactly at every level.' All three asserts (ok, homog, allZ) pass; exit code 0.
